algorithm,n,run,time_ms,nodes_explored,path_cost
dijkstra,0,1,0.047417,100,51
dijkstra,1,1,0.058042,99,48
dijkstra,2,1,0.056458,98,47
dijkstra,3,1,0.053583,96,53
dijkstra,4,1,0.053292,96,59
dijkstra,5,1,0.053333,95,62
dijkstra,6,1,0.052,94,48
dijkstra,7,1,0.053916,93,48
dijkstra,8,1,0.050875,86,50
dijkstra,9,1,0.043833,82,38
dijkstra,10,1,0.051584,88,53
dijkstra,11,1,0.047625,89,59
dijkstra,12,1,0.047125,84,47
dijkstra,13,1,0.043042,82,58
dijkstra,14,1,0.050334,86,54
dijkstra,15,1,0.046458,82,57
dijkstra,16,1,0.0565,73,50
dijkstra,17,1,0.050375,83,63
dijkstra,18,1,0.044,77,56
dijkstra,19,1,0.042291,80,64
dijkstra,20,1,0.046375,80,72
