algorithm,n,run,time_ms,nodes_explored,path_cost
manhattan,0,1,0.0545,99,51
manhattan,0,2,0.054334,99,51
manhattan,0,3,0.080083,99,51
manhattan,0,4,0.065458,99,51
manhattan,0,5,0.071333,99,51
manhattan,0,6,0.093,99,51
manhattan,0,7,0.054,99,51
manhattan,0,8,0.050125,99,51
manhattan,0,9,0.053459,99,51
manhattan,0,10,0.063042,99,51
manhattan,0,11,0.057834,99,51
manhattan,0,12,0.057417,99,51
manhattan,0,13,0.04775,99,51
manhattan,0,14,0.056041,99,51
manhattan,0,15,0.052792,99,51
manhattan,0,16,0.05275,99,51
manhattan,0,17,0.051709,99,51
manhattan,0,18,0.050875,99,51
manhattan,0,19,0.050542,99,51
manhattan,0,20,0.051583,99,51
euclidean,0,1,0.167292,98,51
euclidean,0,2,0.085958,98,51
euclidean,0,3,0.054959,98,51
euclidean,0,4,0.054834,98,51
euclidean,0,5,0.060333,98,51
euclidean,0,6,0.053916,98,51
euclidean,0,7,0.054125,98,51
euclidean,0,8,0.052125,98,51
euclidean,0,9,0.064083,98,51
euclidean,0,10,0.051916,98,51
euclidean,0,11,0.047917,98,51
euclidean,0,12,0.064208,98,51
euclidean,0,13,0.0565,98,51
euclidean,0,14,0.049375,98,51
euclidean,0,15,0.055166,98,51
euclidean,0,16,0.055541,98,51
euclidean,0,17,0.052209,98,51
euclidean,0,18,0.047875,98,51
euclidean,0,19,0.048,98,51
euclidean,0,20,0.053708,98,51
chebyshev,0,1,0.068833,99,51
chebyshev,0,2,0.063625,99,51
chebyshev,0,3,0.096,99,51
chebyshev,0,4,0.050041,99,51
chebyshev,0,5,0.050125,99,51
chebyshev,0,6,0.068042,99,51
chebyshev,0,7,0.057125,99,51
chebyshev,0,8,0.059125,99,51
chebyshev,0,9,0.049916,99,51
chebyshev,0,10,0.0505,99,51
chebyshev,0,11,0.048,99,51
chebyshev,0,12,0.051584,99,51
chebyshev,0,13,0.053417,99,51
chebyshev,0,14,0.04775,99,51
chebyshev,0,15,0.048167,99,51
chebyshev,0,16,0.046584,99,51
chebyshev,0,17,0.052125,99,51
chebyshev,0,18,0.068708,99,51
chebyshev,0,19,0.052,99,51
chebyshev,0,20,0.048334,99,51
manhattan,1,1,0.0555,96,48
manhattan,1,2,0.052916,96,48
manhattan,1,3,0.051875,96,48
manhattan,1,4,0.053708,96,48
manhattan,1,5,0.047583,96,48
manhattan,1,6,0.050417,96,48
manhattan,1,7,0.047875,96,48
manhattan,1,8,0.053125,96,48
manhattan,1,9,0.050834,96,48
manhattan,1,10,0.05125,96,48
manhattan,1,11,0.051042,96,48
manhattan,1,12,0.046958,96,48
manhattan,1,13,0.052625,96,48
manhattan,1,14,0.05175,96,48
manhattan,1,15,0.049958,96,48
manhattan,1,16,0.052166,96,48
manhattan,1,17,0.051041,96,48
manhattan,1,18,0.056042,96,48
manhattan,1,19,0.05425,96,48
manhattan,1,20,0.0505,96,48
euclidean,1,1,0.055208,96,48
euclidean,1,2,0.048875,96,48
euclidean,1,3,0.050458,96,48
euclidean,1,4,0.054042,96,48
euclidean,1,5,0.052583,96,48
euclidean,1,6,0.057459,96,48
euclidean,1,7,0.07475,96,48
euclidean,1,8,0.0535,96,48
euclidean,1,9,0.050125,96,48
euclidean,1,10,0.049416,96,48
euclidean,1,11,0.048334,96,48
euclidean,1,12,0.048917,96,48
euclidean,1,13,0.056084,96,48
euclidean,1,14,0.053625,96,48
euclidean,1,15,0.052625,96,48
euclidean,1,16,0.049166,96,48
euclidean,1,17,0.052833,96,48
euclidean,1,18,0.053375,96,48
euclidean,1,19,0.049833,96,48
euclidean,1,20,0.053125,96,48
chebyshev,1,1,0.048417,97,48
chebyshev,1,2,0.047459,97,48
chebyshev,1,3,0.04825,97,48
chebyshev,1,4,0.047709,97,48
chebyshev,1,5,0.04875,97,48
chebyshev,1,6,0.048167,97,48
chebyshev,1,7,0.050167,97,48
chebyshev,1,8,0.048167,97,48
chebyshev,1,9,0.047041,97,48
chebyshev,1,10,0.049959,97,48
chebyshev,1,11,0.047333,97,48
chebyshev,1,12,0.0465,97,48
chebyshev,1,13,0.047041,97,48
chebyshev,1,14,0.04625,97,48
chebyshev,1,15,0.04625,97,48
chebyshev,1,16,0.047083,97,48
chebyshev,1,17,0.046875,97,48
chebyshev,1,18,0.0475,97,48
chebyshev,1,19,0.048459,97,48
chebyshev,1,20,0.045542,97,48
manhattan,2,1,0.053625,92,47
manhattan,2,2,0.0505,92,47
manhattan,2,3,0.051875,92,47
manhattan,2,4,0.052958,92,47
manhattan,2,5,0.046709,92,47
manhattan,2,6,0.051833,92,47
manhattan,2,7,0.053792,92,47
manhattan,2,8,0.048958,92,47
manhattan,2,9,0.052417,92,47
manhattan,2,10,0.055542,92,47
manhattan,2,11,0.051,92,47
manhattan,2,12,0.052291,92,47
manhattan,2,13,0.051292,92,47
manhattan,2,14,0.046583,92,47
manhattan,2,15,0.047625,92,47
manhattan,2,16,0.052042,92,47
manhattan,2,17,0.050958,92,47
manhattan,2,18,0.05075,92,47
manhattan,2,19,0.052041,92,47
manhattan,2,20,0.051708,92,47
euclidean,2,1,0.055625,92,47
euclidean,2,2,0.053542,92,47
euclidean,2,3,0.054292,92,47
euclidean,2,4,0.052333,92,47
euclidean,2,5,0.052208,92,47
euclidean,2,6,0.053458,92,47
euclidean,2,7,0.05175,92,47
euclidean,2,8,0.053917,92,47
euclidean,2,9,0.046042,92,47
euclidean,2,10,0.053167,92,47
euclidean,2,11,0.057,92,47
euclidean,2,12,0.054209,92,47
euclidean,2,13,0.049333,92,47
