algorithm,n,run,time_ms,nodes_explored,path_cost
dijkstra,0,1,0.0915,100,51
dijkstra,1,1,0.077458,99,48
dijkstra,2,1,0.113417,98,47
dijkstra,3,1,0.091875,96,53
dijkstra,4,1,0.089125,96,59
dijkstra,5,1,0.075708,95,62
dijkstra,6,1,0.065458,94,48
dijkstra,7,1,0.064083,93,48
dijkstra,8,1,0.055042,86,50
dijkstra,9,1,0.053125,82,38
dijkstra,10,1,0.047208,88,53
dijkstra,11,1,0.052083,89,59
dijkstra,12,1,0.046541,84,47
dijkstra,13,1,0.04575,82,58
dijkstra,14,1,0.049667,86,54
dijkstra,15,1,0.051375,82,57
dijkstra,16,1,0.046416,73,50
dijkstra,17,1,0.044416,83,63
dijkstra,18,1,0.041542,77,56
dijkstra,19,1,0.047375,80,64
dijkstra,20,1,0.047708,80,72
