algorithm,n,run,time_ms,nodes_explored,path_cost
manhattan,0,1,0.06,99,51
manhattan,0,2,0.054458,99,51
manhattan,0,3,0.078667,99,51
manhattan,0,4,0.062792,99,51
manhattan,0,5,0.052834,99,51
manhattan,0,6,0.050875,99,51
manhattan,0,7,0.052333,99,51
manhattan,0,8,0.055416,99,51
manhattan,0,9,0.051666,99,51
manhattan,0,10,0.052208,99,51
manhattan,0,11,0.046,99,51
manhattan,0,12,0.056167,99,51
manhattan,0,13,0.054292,99,51
manhattan,0,14,0.049584,99,51
manhattan,0,15,0.054125,99,51
manhattan,0,16,0.0465,99,51
manhattan,0,17,0.050625,99,51
manhattan,0,18,0.051917,99,51
manhattan,0,19,0.06,99,51
manhattan,0,20,0.050292,99,51
euclidean,0,1,0.071875,98,51
euclidean,0,2,0.072959,98,51
euclidean,0,3,0.053708,98,51
euclidean,0,4,0.053542,98,51
euclidean,0,5,0.051875,98,51
euclidean,0,6,0.055666,98,51
euclidean,0,7,0.048416,98,51
euclidean,0,8,0.053917,98,51
euclidean,0,9,0.054041,98,51
euclidean,0,10,0.052042,98,51
euclidean,0,11,0.050708,98,51
euclidean,0,12,0.048333,98,51
euclidean,0,13,0.048708,98,51
euclidean,0,14,0.047875,98,51
euclidean,0,15,0.05425,98,51
euclidean,0,16,0.050541,98,51
euclidean,0,17,0.046833,98,51
euclidean,0,18,0.055125,98,51
euclidean,0,19,0.054584,98,51
euclidean,0,20,0.050875,98,51
chebyshev,0,1,0.118417,99,51
chebyshev,0,2,0.064334,99,51
chebyshev,0,3,0.078708,99,51
chebyshev,0,4,0.066125,99,51
chebyshev,0,5,0.072833,99,51
chebyshev,0,6,0.060167,99,51
chebyshev,0,7,0.061125,99,51
chebyshev,0,8,0.053625,99,51
chebyshev,0,9,0.051292,99,51
chebyshev,0,10,0.048,99,51
chebyshev,0,11,0.04975,99,51
chebyshev,0,12,0.047083,99,51
chebyshev,0,13,0.045833,99,51
chebyshev,0,14,0.052334,99,51
chebyshev,0,15,0.048209,99,51
chebyshev,0,16,0.046542,99,51
chebyshev,0,17,0.051,99,51
chebyshev,0,18,0.047042,99,51
chebyshev,0,19,0.050417,99,51
chebyshev,0,20,0.046,99,51
manhattan,1,1,0.055625,96,48
manhattan,1,2,0.04875,96,48
manhattan,1,3,0.052,96,48
manhattan,1,4,0.0535,96,48
manhattan,1,5,0.047125,96,48
manhattan,1,6,0.052917,96,48
manhattan,1,7,0.0535,96,48
manhattan,1,8,0.051875,96,48
manhattan,1,9,0.053042,96,48
manhattan,1,10,0.056792,96,48
manhattan,1,11,0.052292,96,48
manhattan,1,12,0.05225,96,48
manhattan,1,13,0.052542,96,48
manhattan,1,14,0.046959,96,48
manhattan,1,15,0.048,96,48
manhattan,1,16,0.05325,96,48
manhattan,1,17,0.050834,96,48
manhattan,1,18,0.054334,96,48
manhattan,1,19,0.053708,96,48
manhattan,1,20,0.047791,96,48
euclidean,1,1,0.054208,96,48
euclidean,1,2,0.054542,96,48
euclidean,1,3,0.055625,96,48
euclidean,1,4,0.052167,96,48
euclidean,1,5,0.057709,96,48
euclidean,1,6,0.052917,96,48
euclidean,1,7,0.052375,96,48
euclidean,1,8,0.053709,96,48
euclidean,1,9,0.051959,96,48
euclidean,1,10,0.057042,96,48
euclidean,1,11,0.051417,96,48
euclidean,1,12,0.053,96,48
euclidean,1,13,0.047625,96,48
euclidean,1,14,0.052791,96,48
euclidean,1,15,0.050833,96,48
euclidean,1,16,0.047125,96,48
euclidean,1,17,0.052583,96,48
